algorithm,volume,density,radius,points,consctruction_time,data_size,query_pairs_time,filtering_time,total_time,min_memory,max_memory,type,seed
find_neighbors,1,100,0.5,412718,3.357890368,3617384,0.26420331,0.7622199059,4.536415815,1287.710938,1289.210938,radius,1
find_neighbors,1,100,1,389770,3.172342539,3215432,0.2454123497,0.6730468273,4.239886522,1286.710938,1287.710938,radius,1
find_neighbors,1,100,1,389770,3.170145035,3215432,0.2389657497,0.6744246483,4.230917692,1285.710938,1286.710938,radius,1
find_neighbors,1,100,1,389770,3.161873341,3215432,0.2431781292,0.6711947918,4.221072197,1284.960938,1285.710938,radius,1
find_neighbors,1,100,1,389770,3.159622192,3215432,0.2431077957,0.6638948917,4.215633392,1284.710938,1284.960938,radius,1
find_neighbors,1,100,1,389770,3.197091818,3215432,0.2349359989,0.6641235352,4.247097254,1284.710938,1284.710938,radius,1
find_neighbors,1,100,1,389770,3.161322832,3215432,0.2424185276,1.375532627,4.935096264,1284.460938,1284.710938,radius,1
find_neighbors,1,100,1,389770,3.162159443,3215432,0.2432711124,0.6717004776,4.246875763,1283.960938,1284.210938,radius,1
find_neighbors,1,100,1,389770,3.184662104,3215432,0.2432172298,0.689511776,4.26720953,1283.960938,1283.960938,radius,1
find_neighbors,1,100,1,389770,3.175095081,3215432,0.2418022156,0.6777040958,4.251754284,1283.960938,1283.960938,radius,1
find_neighbors,1,100,1,389770,3.186389446,3215432,0.2455132008,0.6658959389,4.246655703,1283.960938,1283.960938,radius,1
find_neighbors,1,100,1.5,447385,3.607437134,3617384,0.3795521259,1.265398502,5.431970596,1283.960938,1284.058594,radius,1
find_neighbors,1,100,1.5,447385,3.58270669,3617384,0.3345708847,1.303795815,5.405092955,1284.058594,1284.183594,radius,1
find_neighbors,1,100,1.5,447385,3.633001804,3617384,0.3335294724,1.285296917,5.439842463,1284.183594,1284.183594,radius,1
find_neighbors,1,100,1.5,447385,3.597477436,3617384,0.334290266,1.289074421,5.402139187,1284.183594,1284.183594,radius,1
find_neighbors,1,100,1.5,447385,3.595360041,3617384,0.3320016861,1.298715591,5.407787561,1284.183594,1284.183594,radius,1
find_neighbors,1,100,1.5,447385,3.598009109,3617384,0.3362417221,1.300475359,5.424325705,1284.183594,1284.183594,radius,1
find_neighbors,1,100,1.5,447385,3.604652643,3617384,0.3307621479,1.28058219,5.39648366,1284.183594,1284.183594,radius,1
find_neighbors,1,100,1.5,447385,3.619640112,3617384,0.3334608078,1.292963743,5.431156397,1284.183594,1284.183594,radius,1
find_neighbors,1,100,1.5,447385,3.59329319,3617384,0.3338558674,1.273192167,5.380794287,1284.183594,1284.183594,radius,1
find_neighbors,1,100,1.5,447385,3.582907677,3617384,0.3351404667,1.268657446,5.367922783,1284.183594,1284.183594,radius,1
find_neighbors,1,100,2,401323,3.237959385,3215432,1.032337666,1.374906778,5.836783409,1284.183594,1284.183594,radius,1
find_neighbors,1,100,2,401323,3.238571644,3215432,0.2963628769,1.366489649,5.096835613,1284.183594,1284.183594,radius,1
find_neighbors,1,100,2,401323,3.23867178,3215432,0.3022751808,1.402719021,5.130694389,1284.183594,1284.183594,radius,1
find_neighbors,1,100,2,401323,3.244002819,3215432,0.3040854931,1.416043758,5.150811434,1284.183594,1284.183594,radius,1
find_neighbors,1,100,2,401323,3.258896351,3215432,0.3025670052,1.401037931,5.150588274,1284.183594,1284.183594,radius,1
